profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Online seller,70663.0,38537,345441,17745,52.49,20.4,54.5,25.1,12.2,Debt Repayment,100000,6,Medium,Highly Variable Income
Gig worker,14990.0,16082,6607,0,57.69,0.0,107.3,0.0,0.5,Retirement Reserve,75000,24,High,Financial Risk
Self-employed person,35483.0,22461,12475,0,46.78,36.7,63.3,0.0,0.7,Working Capital Buffer,500000,6,High,Financial Risk
Gig worker,10994.0,15150,8190,0,55.75,0.0,137.8,0.0,0.8,Business Expansion,100000,24,High,Financial Risk
Online seller,37593.0,24759,136595,10542,33.41,6.1,65.9,28.0,7.0,Child Education,50000,12,Low,Moderately Variable Income
Seasonal business owner,80762.0,35166,338759,0,32.28,56.5,43.5,0.0,14.8,Working Capital Buffer,100000,24,Low,Moderately Variable Income
Gig worker,19123.0,19366,16784,4731,8.03,0.0,101.3,24.7,1.3,Home Downpayment,30000,24,High,Financial Risk
Small business owner,83173.0,23322,89591,0,31.56,72.0,28.0,0.0,5.7,Home Downpayment,30000,6,Low,Moderately Variable Income
Seasonal business owner,70147.0,32059,102578,8701,47.54,41.9,45.7,12.4,4.0,Retirement Reserve,75000,24,Medium,Highly Variable Income
Shop owner,47843.0,23790,20949,15321,31.87,18.3,49.7,32.0,1.2,Emergency Fund,30000,6,Medium,Moderately Variable Income
Daily wage worker,7888.0,13387,21813,2112,55.75,0.0,169.7,26.8,1.9,Emergency Fund,50000,12,High,Financial Risk
Daily wage worker,11854.0,11297,115664,0,52.76,4.7,95.3,0.0,14.1,Business Expansion,75000,6,Medium,Highly Variable Income
Self-employed person,20318.0,17905,138773,5543,46.05,0.0,88.1,27.3,10.7,Working Capital Buffer,75000,6,High,Financial Risk
Small business owner,51007.0,23337,232488,0,25.72,54.2,45.8,0.0,11.8,Working Capital Buffer,100000,6,Low,Moderately Variable Income
Daily wage worker,20042.0,11528,22597,4607,29.82,19.5,57.5,23.0,2.4,Business Expansion,75000,24,Medium,Moderately Variable Income
Consultant,41318.0,40428,276607,0,51.2,2.2,97.8,0.0,10.0,Working Capital Buffer,75000,18,Medium,Highly Variable Income
Shop owner,33557.0,20393,8829,6537,29.85,19.7,60.8,19.5,0.5,Retirement Reserve,75000,24,High,Financial Risk
Self-employed person,30443.0,25385,74484,0,23.62,16.6,83.4,0.0,3.8,Working Capital Buffer,50000,6,Low,Moderately Variable Income
Daily wage worker,8292.0,11538,13536,2615,82.26,0.0,139.1,31.5,1.6,Working Capital Buffer,75000,12,High,Financial Risk
Online seller,39453.0,38211,256866,0,27.68,3.1,96.9,0.0,9.0,Working Capital Buffer,75000,36,Low,Moderately Variable Income
Freelancer,83107.0,25382,49427,15926,9.48,50.3,30.5,19.2,2.4,Child Education,30000,6,Low,Stable Income
Self-employed person,40741.0,29041,25082,12282,37.27,0.0,71.3,30.1,1.3,Retirement Reserve,500000,6,High,Financial Risk
Shop owner,41809.0,20777,64830,8707,40.88,29.5,49.7,20.8,3.9,Debt Repayment,150000,18,Medium,Highly Variable Income
Seasonal business owner,39959.0,28552,214536,15844,104.12,0.0,71.5,39.7,10.6,Home Downpayment,100000,36,High,Financial Risk
Freelancer,27301.0,19399,37555,4555,51.12,12.3,71.1,16.7,2.8,Working Capital Buffer,250000,18,High,Highly Variable Income
Daily wage worker,11295.0,10084,5806,3975,42.41,0.0,89.3,35.2,0.7,Working Capital Buffer,75000,12,High,Financial Risk
Daily wage worker,8926.0,10409,10554,3378,49.54,0.0,116.6,37.8,1.2,Home Downpayment,250000,6,High,Financial Risk
Gig worker,18330.0,18454,15094,0,60.24,0.0,100.7,0.0,1.0,Debt Repayment,250000,18,High,Financial Risk
Daily wage worker,9804.0,16084,152915,943,26.55,0.0,164.1,9.6,13.2,Business Expansion,150000,18,High,Financial Risk
Small business owner,53924.0,32157,253067,5543,14.0,30.1,59.6,10.3,11.5,Retirement Reserve,30000,24,Low,Stable Income
Online seller,39465.0,31598,16274,13006,44.14,0.0,80.1,33.0,0.6,Business Expansion,250000,24,High,Financial Risk
Gig worker,10848.0,15421,27152,3721,28.43,0.0,142.2,34.3,2.7,Debt Repayment,150000,36,High,Financial Risk
Small business owner,28957.0,21139,78262,0,56.79,27.0,73.0,0.0,5.2,Retirement Reserve,500000,36,Medium,Highly Variable Income
Gig worker,31596.0,19092,19683,0,24.05,39.6,60.4,0.0,1.4,Business Expansion,500000,6,Medium,Moderately Variable Income
Gig worker,15357.0,20244,46176,2212,43.7,0.0,131.8,14.4,3.4,Debt Repayment,50000,24,High,Financial Risk
Online seller,64809.0,30463,71949,0,15.78,53.0,47.0,0.0,2.9,Home Downpayment,50000,12,Low,Stable Income
Commission-based worker,23308.0,21546,75172,0,38.03,7.6,92.4,0.0,5.1,Child Education,50000,12,Medium,Highly Variable Income
Freelancer,49448.0,19479,43180,0,44.85,60.6,39.4,0.0,2.6,Working Capital Buffer,250000,36,High,Highly Variable Income
Consultant,52589.0,27718,24181,0,19.16,47.3,52.7,0.0,1.1,Emergency Fund,250000,36,Medium,Stable Income
Shop owner,31138.0,24055,95743,11319,30.91,0.0,77.3,36.4,5.6,Emergency Fund,50000,12,High,Financial Risk
Freelancer,32052.0,19775,123994,0,29.8,38.3,61.7,0.0,7.4,Home Downpayment,500000,36,Low,Moderately Variable Income
Gig worker,8638.0,18154,38465,1797,57.18,0.0,210.2,20.8,2.7,Working Capital Buffer,500000,18,High,Financial Risk
Freelancer,28245.0,26487,227261,0,35.64,6.2,93.8,0.0,12.3,Debt Repayment,50000,36,Medium,Highly Variable Income
Small business owner,25050.0,31198,29258,9771,41.6,0.0,124.5,39.0,1.3,Business Expansion,500000,12,High,Financial Risk
Commission-based worker,22243.0,18408,60931,7463,21.81,0.0,82.8,33.6,4.9,Child Education,30000,36,High,Financial Risk
Small business owner,52832.0,25723,48699,19237,64.38,14.9,48.7,36.4,2.3,Retirement Reserve,75000,24,High,Highly Variable Income
Self-employed person,62607.0,20228,9553,19767,26.56,36.1,32.3,31.6,0.6,Home Downpayment,250000,12,High,Financial Risk
Freelancer,21147.0,24875,10525,8316,56.03,0.0,117.6,39.3,0.6,Business Expansion,250000,18,High,Financial Risk
Seasonal business owner,69984.0,27636,273325,19769,60.54,32.3,39.5,28.2,13.1,Working Capital Buffer,100000,18,Medium,Highly Variable Income
Small business owner,28372.0,20081,69069,0,51.58,29.2,70.8,0.0,4.0,Retirement Reserve,150000,24,Medium,Highly Variable Income
Shop owner,31485.0,18027,10449,4821,22.86,27.4,57.3,15.3,0.7,Home Downpayment,75000,18,High,Financial Risk
Commission-based worker,20919.0,18141,14590,6950,13.97,0.0,86.7,33.2,1.1,Child Education,50000,24,High,Financial Risk
Consultant,49094.0,35857,78909,8125,48.9,10.4,73.0,16.5,3.4,Emergency Fund,100000,24,Medium,Highly Variable Income
Daily wage worker,13041.0,13347,31298,3291,37.45,0.0,102.3,25.2,2.9,Debt Repayment,500000,18,High,Financial Risk
Small business owner,38334.0,35006,341915,0,19.42,8.7,91.3,0.0,14.7,Business Expansion,30000,6,Low,Stable Income
Shop owner,38350.0,15947,18496,0,34.32,58.4,41.6,0.0,1.5,Child Education,50000,36,High,Highly Variable Income
Small business owner,64899.0,28114,292856,17171,23.02,30.2,43.3,26.5,13.7,Child Education,250000,6,Low,Moderately Variable Income
Freelancer,52086.0,25059,227422,4669,43.5,42.9,48.1,9.0,13.7,Working Capital Buffer,100000,6,Medium,Highly Variable Income
Self-employed person,21153.0,21197,123966,0,27.92,0.0,100.2,0.0,8.0,Working Capital Buffer,150000,36,High,Financial Risk
Daily wage worker,9171.0,12467,40118,1683,15.78,0.0,135.9,18.4,4.1,Home Downpayment,75000,18,High,Financial Risk
Self-employed person,32673.0,24350,12645,0,23.95,25.5,74.5,0.0,0.7,Debt Repayment,150000,6,High,Financial Risk
Freelancer,57974.0,18362,15035,8105,57.97,54.3,31.7,14.0,1.0,Home Downpayment,75000,12,High,Highly Variable Income
Small business owner,58590.0,23290,12020,21066,12.18,24.3,39.8,36.0,0.8,Child Education,30000,6,High,Financial Risk
Daily wage worker,27142.0,15001,122580,7602,39.14,16.7,55.3,28.0,12.2,Home Downpayment,500000,18,Low,Moderately Variable Income
Small business owner,29053.0,26710,272588,4098,25.23,0.0,91.9,14.1,14.4,Working Capital Buffer,100000,24,High,Financial Risk
Consultant,73811.0,25165,234562,0,22.74,65.9,34.1,0.0,11.1,Debt Repayment,500000,6,Low,Moderately Variable Income
Gig worker,27354.0,19563,16249,3838,46.15,14.4,71.5,14.0,1.3,Working Capital Buffer,250000,6,High,Highly Variable Income
Self-employed person,55203.0,19565,16413,12904,27.68,41.2,35.4,23.4,1.0,Home Downpayment,100000,36,Medium,Moderately Variable Income
Daily wage worker,12450.0,10544,6103,0,61.74,15.3,84.7,0.0,0.8,Debt Repayment,50000,24,High,Financial Risk
Freelancer,66451.0,24089,40945,19864,97.44,33.9,36.3,29.9,2.1,Child Education,75000,12,High,Highly Variable Income
Self-employed person,38784.0,21752,106427,0,34.4,43.9,56.1,0.0,7.0,Emergency Fund,30000,18,Medium,Highly Variable Income
Commission-based worker,39622.0,14291,24662,10346,47.8,37.8,36.1,26.1,2.2,Retirement Reserve,100000,36,High,Highly Variable Income
Consultant,86552.0,33297,16463,9003,38.58,51.1,38.5,10.4,0.6,Home Downpayment,30000,18,High,Financial Risk
Freelancer,41818.0,23954,75617,8127,73.96,23.3,57.3,19.4,4.7,Child Education,30000,24,Medium,Highly Variable Income
Commission-based worker,37402.0,27441,165637,0,38.8,26.6,73.4,0.0,9.3,Business Expansion,50000,24,Medium,Highly Variable Income
Gig worker,24128.0,18510,72936,7002,30.43,0.0,76.7,29.0,6.1,Working Capital Buffer,500000,36,High,Financial Risk
Consultant,87595.0,29407,220509,30982,47.49,31.1,33.6,35.4,9.4,Retirement Reserve,75000,6,Medium,Highly Variable Income
Daily wage worker,13940.0,11746,87736,2476,43.98,0.0,84.3,17.8,10.8,Retirement Reserve,150000,36,High,Financial Risk
Seasonal business owner,83643.0,19734,172577,11574,39.95,62.6,23.6,13.8,10.1,Working Capital Buffer,100000,12,Medium,Highly Variable Income
Freelancer,32134.0,24862,101615,7189,34.04,0.3,77.4,22.4,6.3,Working Capital Buffer,100000,6,Low,Moderately Variable Income
Commission-based worker,53490.0,16377,106938,8338,68.25,53.8,30.6,15.6,8.6,Business Expansion,30000,24,Medium,Highly Variable Income
Consultant,65270.0,48589,112593,0,18.5,25.6,74.4,0.0,3.6,Child Education,30000,12,Low,Stable Income
Small business owner,33684.0,22506,50738,0,35.57,33.2,66.8,0.0,3.0,Business Expansion,100000,6,Low,Moderately Variable Income
Consultant,79786.0,41940,68268,6865,22.9,38.8,52.6,8.6,2.4,Home Downpayment,50000,6,Medium,Moderately Variable Income
Consultant,82778.0,48367,289154,0,35.7,41.6,58.4,0.0,9.2,Home Downpayment,30000,36,Medium,Highly Variable Income
Shop owner,58714.0,17252,17873,0,36.27,70.6,29.4,0.0,1.4,Business Expansion,150000,36,Medium,Moderately Variable Income
Small business owner,42693.0,29981,12195,8918,61.97,8.9,70.2,20.9,0.6,Business Expansion,75000,24,High,Financial Risk
Gig worker,17308.0,16716,33073,3120,22.94,0.0,96.6,18.0,2.6,Home Downpayment,250000,12,High,Financial Risk
Small business owner,32285.0,28957,207379,0,77.7,10.3,89.7,0.0,9.3,Child Education,75000,36,Medium,Highly Variable Income
Online seller,58590.0,22138,180072,0,26.54,62.2,37.8,0.0,9.9,Home Downpayment,250000,36,Low,Moderately Variable Income
Self-employed person,36317.0,24828,10994,5499,19.03,16.5,68.4,15.1,0.6,Working Capital Buffer,75000,12,High,Financial Risk
Daily wage worker,15980.0,14020,14967,0,41.93,12.3,87.7,0.0,1.3,Home Downpayment,250000,36,Medium,Moderately Variable Income
Shop owner,47913.0,18409,10635,12486,14.25,35.5,38.4,26.1,0.7,Debt Repayment,30000,36,High,Financial Risk
Consultant,35512.0,46321,189802,13788,26.65,0.0,130.4,38.8,5.9,Emergency Fund,250000,18,High,Financial Risk
Freelancer,66372.0,21751,44497,24285,38.13,30.6,32.8,36.6,2.6,Debt Repayment,30000,36,High,Highly Variable Income
Daily wage worker,9913.0,15330,35804,3571,30.11,0.0,154.6,36.0,3.5,Child Education,30000,36,High,Financial Risk
Gig worker,33632.0,20224,44996,11408,42.9,5.9,60.1,33.9,3.1,Child Education,75000,36,Medium,Highly Variable Income
Small business owner,47913.0,22673,45241,10420,54.37,30.9,47.3,21.7,2.8,Home Downpayment,50000,18,High,Highly Variable Income
Online seller,41320.0,33120,345074,0,45.22,19.8,80.2,0.0,12.7,Home Downpayment,500000,12,Medium,Highly Variable Income
Self-employed person,46055.0,28440,89620,12423,23.22,11.3,61.8,27.0,4.8,Emergency Fund,150000,24,Low,Moderately Variable Income
Gig worker,13376.0,20962,165612,3810,39.11,0.0,156.7,28.5,10.7,Business Expansion,50000,24,High,Financial Risk
Gig worker,21072.0,17555,14439,2059,47.49,6.9,83.3,9.8,1.0,Emergency Fund,150000,24,High,Highly Variable Income
Daily wage worker,15969.0,11441,4698,0,27.0,28.4,71.6,0.0,0.6,Home Downpayment,500000,36,High,Financial Risk
Commission-based worker,31963.0,20517,131535,8315,46.62,9.8,64.2,26.0,9.1,Debt Repayment,75000,18,Medium,Highly Variable Income
Freelancer,36992.0,18265,68330,9041,48.74,26.2,49.4,24.4,4.4,Retirement Reserve,50000,6,Medium,Highly Variable Income
Online seller,33005.0,29262,24350,5094,30.89,0.0,88.7,15.4,1.0,Retirement Reserve,150000,18,High,Financial Risk
Self-employed person,49615.0,23441,87364,7348,15.52,37.9,47.2,14.8,5.4,Child Education,50000,6,Low,Stable Income
Daily wage worker,27866.0,10829,5723,3891,20.92,47.2,38.9,14.0,0.7,Child Education,50000,12,High,Financial Risk
Consultant,55199.0,41988,399807,14753,28.65,0.0,76.1,26.7,14.0,Working Capital Buffer,75000,6,High,Financial Risk
Small business owner,38508.0,33938,19593,0,40.64,11.9,88.1,0.0,0.9,Debt Repayment,250000,24,High,Financial Risk
Shop owner,44116.0,17964,18206,8277,30.85,40.5,40.7,18.8,1.3,Debt Repayment,30000,6,Medium,Moderately Variable Income
Daily wage worker,12799.0,14466,6556,3413,22.52,0.0,113.0,26.7,0.6,Business Expansion,30000,6,High,Financial Risk
Gig worker,11979.0,16681,68257,1847,39.3,0.0,139.3,15.4,5.5,Child Education,30000,12,High,Financial Risk
Consultant,90568.0,46056,327577,18758,62.05,28.4,50.9,20.7,10.2,Child Education,500000,18,Medium,Highly Variable Income
Consultant,51115.0,26418,223923,0,5.57,48.3,51.7,0.0,10.0,Business Expansion,100000,36,Low,Stable Income
Gig worker,11347.0,14656,6389,936,22.75,0.0,129.2,8.2,0.5,Child Education,100000,6,High,Financial Risk
Commission-based worker,46469.0,25419,250359,0,42.73,45.3,54.7,0.0,15.2,Emergency Fund,30000,18,Medium,Highly Variable Income
Seasonal business owner,45698.0,23686,125450,13286,59.94,19.1,51.8,29.1,7.0,Retirement Reserve,50000,24,Medium,Highly Variable Income
Freelancer,64701.0,19592,78182,0,39.54,69.7,30.3,0.0,5.1,Emergency Fund,150000,12,Medium,Highly Variable Income
Commission-based worker,30483.0,19454,38192,0,72.82,36.2,63.8,0.0,2.9,Child Education,50000,24,High,Highly Variable Income
Freelancer,42485.0,22192,10090,9702,23.19,24.9,52.2,22.8,0.6,Home Downpayment,150000,24,High,Financial Risk
Self-employed person,58970.0,27088,13479,10872,12.01,35.6,45.9,18.4,0.7,Working Capital Buffer,30000,24,High,Financial Risk
Consultant,50459.0,35468,18593,10721,21.33,8.5,70.3,21.2,0.6,Emergency Fund,150000,18,High,Financial Risk
Online seller,80594.0,31663,27501,28036,42.66,25.9,39.3,34.8,1.2,Child Education,100000,24,High,Highly Variable Income
Seasonal business owner,41388.0,24790,44822,0,86.0,40.1,59.9,0.0,2.7,Retirement Reserve,150000,6,High,Highly Variable Income
Freelancer,29392.0,18827,22416,0,31.28,35.9,64.1,0.0,1.5,Child Education,150000,24,Medium,Moderately Variable Income
Shop owner,24826.0,24332,166724,4011,37.31,0.0,98.0,16.2,9.8,Retirement Reserve,100000,6,High,Financial Risk
Shop owner,29899.0,16411,87806,0,31.57,45.1,54.9,0.0,7.1,Emergency Fund,250000,18,Low,Moderately Variable Income
Self-employed person,42959.0,23770,90661,6482,12.6,29.6,55.3,15.1,4.5,Home Downpayment,250000,24,Low,Stable Income
Gig worker,20029.0,19116,45007,0,40.55,4.6,95.4,0.0,3.0,Emergency Fund,250000,36,Low,Moderately Variable Income
Consultant,76277.0,40880,262169,19322,46.06,21.1,53.6,25.3,9.7,Retirement Reserve,75000,6,Medium,Highly Variable Income
Daily wage worker,7274.0,12279,27176,0,52.86,0.0,168.8,0.0,2.9,Debt Repayment,250000,18,High,Financial Risk
Shop owner,28834.0,25774,28256,2359,32.57,2.4,89.4,8.2,1.6,Child Education,50000,36,High,Highly Variable Income
Online seller,37793.0,23216,43960,8092,68.03,17.2,61.4,21.4,2.2,Retirement Reserve,500000,36,High,Highly Variable Income
Gig worker,29348.0,15814,7133,8901,55.51,15.8,53.9,30.3,0.6,Child Education,50000,6,High,Financial Risk
Seasonal business owner,108507.0,33634,138080,0,11.8,69.0,31.0,0.0,5.6,Working Capital Buffer,100000,12,Low,Stable Income
Freelancer,34848.0,26651,14288,5757,25.02,7.0,76.5,16.5,0.7,Working Capital Buffer,100000,6,High,Financial Risk
Small business owner,25153.0,23223,201672,3473,47.57,0.0,92.3,13.8,10.2,Retirement Reserve,250000,18,High,Financial Risk
Online seller,90953.0,34230,283753,0,58.08,62.4,37.6,0.0,10.9,Debt Repayment,50000,12,Medium,Highly Variable Income
Shop owner,15800.0,24888,45676,3705,13.16,0.0,157.5,23.4,2.7,Emergency Fund,250000,36,High,Financial Risk
Gig worker,25611.0,23808,187127,8587,15.24,0.0,93.0,33.5,12.1,Debt Repayment,500000,12,High,Financial Risk
Freelancer,54539.0,25251,105222,15521,35.22,25.2,46.3,28.5,5.8,Home Downpayment,100000,12,Low,Moderately Variable Income
Shop owner,46197.0,22405,12075,0,17.67,51.5,48.5,0.0,0.8,Home Downpayment,50000,18,High,Financial Risk
Online seller,38594.0,30245,244364,0,37.44,21.6,78.4,0.0,11.3,Child Education,500000,18,Medium,Highly Variable Income
Online seller,48209.0,42928,18543,6984,43.24,0.0,89.0,14.5,0.7,Child Education,100000,18,High,Financial Risk
Freelancer,66314.0,23333,68323,20499,48.07,33.9,35.2,30.9,4.2,Emergency Fund,50000,12,Medium,Highly Variable Income
Small business owner,39222.0,22043,9927,10407,59.96,17.3,56.2,26.5,0.5,Retirement Reserve,150000,24,High,Financial Risk
Commission-based worker,40819.0,21580,112684,0,29.66,47.1,52.9,0.0,6.4,Working Capital Buffer,50000,36,Low,Moderately Variable Income
Seasonal business owner,86176.0,37367,44502,28616,55.72,23.4,43.4,33.2,1.7,Home Downpayment,75000,6,High,Highly Variable Income
Shop owner,43316.0,19731,191718,7241,43.32,37.7,45.6,16.7,13.8,Child Education,150000,6,Low,Moderately Variable Income
Commission-based worker,30182.0,20032,23393,10624,47.1,0.0,66.4,35.2,1.7,Child Education,250000,24,High,Financial Risk
Small business owner,30987.0,26058,183894,3485,30.07,4.7,84.1,11.2,8.5,Child Education,30000,6,Low,Moderately Variable Income
Gig worker,15489.0,18321,180174,3551,24.05,0.0,118.3,22.9,14.7,Debt Repayment,30000,18,High,Financial Risk
Commission-based worker,50488.0,14925,30791,17225,56.54,36.3,29.6,34.1,2.7,Child Education,250000,18,High,Highly Variable Income
Consultant,121061.0,33441,67392,0,11.44,72.4,27.6,0.0,2.4,Home Downpayment,100000,18,Low,Stable Income
Shop owner,62861.0,15279,6442,0,22.95,75.7,24.3,0.0,0.5,Business Expansion,75000,12,High,Financial Risk
Freelancer,9318.0,20002,137181,0,91.11,0.0,214.6,0.0,9.2,Emergency Fund,150000,12,High,Financial Risk
Shop owner,36516.0,21877,75412,12808,23.32,5.0,59.9,35.1,5.2,Home Downpayment,75000,6,Low,Moderately Variable Income
Gig worker,11193.0,16982,36395,4255,23.81,0.0,151.7,38.0,3.3,Home Downpayment,250000,6,High,Financial Risk
Gig worker,25650.0,20918,20899,9502,50.28,0.0,81.6,37.0,1.4,Home Downpayment,250000,6,High,Financial Risk
Freelancer,78141.0,23693,43644,22008,39.74,41.5,30.3,28.2,2.5,Business Expansion,50000,12,High,Highly Variable Income
Daily wage worker,9356.0,10620,88344,3149,28.5,0.0,113.5,33.7,9.6,Working Capital Buffer,75000,24,High,Financial Risk
Commission-based worker,49080.0,15244,99286,0,43.54,68.9,31.1,0.0,8.1,Emergency Fund,500000,36,Medium,Highly Variable Income
Freelancer,40028.0,22937,49557,3394,65.13,34.2,57.3,8.5,3.0,Child Education,150000,36,Medium,Highly Variable Income
Daily wage worker,12854.0,12718,116614,2577,48.69,0.0,98.9,20.0,11.3,Child Education,50000,18,High,Financial Risk
Gig worker,33776.0,16434,58859,11058,27.01,18.6,48.7,32.7,5.3,Debt Repayment,30000,36,Low,Moderately Variable Income
